"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
154,23/01/2016,23:40:00,"NA",30.42
155,23/01/2016,23:45:00,"NA",30.42
156,23/01/2016,23:50:00,"NA",30.36
157,23/01/2016,23:55:00,"NA",30.36
158,23/01/2016,24:00:00,"NA",30.36
159,24/01/2016,00:05:00,"NA",30.3
160,24/01/2016,00:10:00,"NA",30.3
161,24/01/2016,00:15:00,"NA",30.3
162,24/01/2016,00:20:00,"NA",30.3
163,24/01/2016,00:25:00,"NA",30.24
164,24/01/2016,00:30:00,"NA",30.24
165,24/01/2016,00:35:00,"NA",30.24
166,24/01/2016,00:40:00,"NA",30.18
167,24/01/2016,00:45:00,"NA",30.18
168,24/01/2016,00:50:00,"NA",30.12
169,24/01/2016,00:55:00,"NA",30.12
170,24/01/2016,01:00:00,"NA",30.12
171,24/01/2016,01:05:00,"NA",30.06
172,24/01/2016,01:10:00,"NA",30.06
173,24/01/2016,01:15:00,"NA",30
174,24/01/2016,01:20:00,"NA",30
175,24/01/2016,01:25:00,"NA",29.94
176,24/01/2016,01:30:00,"NA",29.94
177,24/01/2016,01:35:00,"NA",29.88
178,24/01/2016,01:40:00,"NA",29.88
179,24/01/2016,01:45:00,"NA",29.88
180,24/01/2016,01:50:00,"NA",29.82
181,24/01/2016,01:55:00,"NA",29.82
182,24/01/2016,02:00:00,"NA",29.82
183,24/01/2016,02:05:00,"NA",29.76
184,24/01/2016,02:10:00,"NA",29.7
185,24/01/2016,02:15:00,"NA",29.64
186,24/01/2016,02:20:00,"NA",29.64
187,24/01/2016,02:25:00,"NA",29.64
188,24/01/2016,02:30:00,"NA",29.58
189,24/01/2016,02:35:00,"NA",29.58
190,24/01/2016,02:40:00,"NA",29.52
191,24/01/2016,02:45:00,"NA",29.52
192,24/01/2016,02:50:00,"NA",29.52
193,24/01/2016,02:55:00,"NA",29.46
194,24/01/2016,03:00:00,"NA",29.46
195,24/01/2016,03:05:00,"NA",29.4
196,24/01/2016,03:10:00,"NA",29.4
197,24/01/2016,03:15:00,"NA",29.4
198,24/01/2016,03:20:00,"NA",29.4
199,24/01/2016,03:25:00,"NA",29.34
200,24/01/2016,03:30:00,"NA",29.34
201,24/01/2016,03:35:00,"NA",29.34
202,24/01/2016,03:40:00,"NA",29.28
203,24/01/2016,03:45:00,"NA",29.28
