Site Name ,WLR113,,,
Site Number ,103,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,41697,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
235,11/01/2016,09:50:00,1530,28.32
236,11/01/2016,09:55:00,1529,28.26
237,11/01/2016,10:00:00,1530,28.32
238,11/01/2016,10:05:00,1530,28.32
239,11/01/2016,10:10:00,1530,28.32
240,11/01/2016,10:15:00,1530,28.32
241,11/01/2016,10:20:00,1530,28.32
242,11/01/2016,10:25:00,1529,28.26
243,11/01/2016,10:30:00,1530,28.32
244,11/01/2016,10:35:00,1529,28.26
245,11/01/2016,10:40:00,1529,28.26
246,11/01/2016,10:45:00,1529,28.26
247,11/01/2016,10:50:00,1529,28.26
248,11/01/2016,10:55:00,1528,28.2
249,11/01/2016,11:00:00,1529,28.26
250,11/01/2016,11:05:00,1528,28.2
251,11/01/2016,11:10:00,1528,28.2
252,11/01/2016,11:15:00,1527,28.14
253,11/01/2016,11:20:00,1527,28.14
254,11/01/2016,11:25:00,1527,28.14
255,11/01/2016,11:30:00,1527,28.14
256,11/01/2016,11:35:00,1527,28.14
257,11/01/2016,11:40:00,1527,28.14
258,11/01/2016,11:45:00,1527,28.14
259,11/01/2016,11:50:00,1527,28.14
260,11/01/2016,11:55:00,1527,28.14
261,11/01/2016,12:00:00,1527,28.14
262,11/01/2016,12:05:00,1527,28.14
263,11/01/2016,12:10:00,1527,28.14
264,11/01/2016,12:15:00,1527,28.14
265,11/01/2016,12:20:00,1527,28.14
266,11/01/2016,12:25:00,1527,28.14
267,11/01/2016,12:30:00,1527,28.14
268,11/01/2016,12:35:00,1527,28.14
269,11/01/2016,12:40:00,1527,28.14
270,11/01/2016,12:45:00,1527,28.14
271,11/01/2016,12:50:00,1527,28.14
272,11/01/2016,12:55:00,1527,28.14
273,11/01/2016,13:00:00,1527,28.14
274,11/01/2016,13:05:00,1527,28.14
275,11/01/2016,13:10:00,1527,28.14
276,11/01/2016,13:15:00,1527,28.14
277,11/01/2016,13:20:00,1526,28.08
278,11/01/2016,13:25:00,1526,28.08
279,11/01/2016,13:30:00,1526,28.08
280,11/01/2016,13:35:00,1527,28.14
281,11/01/2016,13:40:00,1527,28.14
282,11/01/2016,13:45:00,1527,28.14
283,11/01/2016,13:50:00,1527,28.14
284,11/01/2016,13:55:00,1527,28.14
285,11/01/2016,14:00:00,1528,28.2
286,11/01/2016,14:05:00,1529,28.26
287,11/01/2016,14:10:00,1528,28.2
288,11/01/2016,14:15:00,1529,28.26
289,11/01/2016,14:20:00,1528,28.2
290,11/01/2016,14:25:00,1528,28.2
291,11/01/2016,14:30:00,1528,28.2
