Site Name ,WLR110,,,
Site Number ,110,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,40023,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
304,12/01/2014,15:55:16,861,0.13
305,12/01/2014,16:10:16,860,0.13
306,12/01/2014,16:25:16,860,0.13
307,12/01/2014,16:40:16,860,0.13
308,12/01/2014,16:55:16,860,0.13
309,12/01/2014,17:10:16,860,0.13
310,12/01/2014,17:25:16,860,0.13
311,12/01/2014,17:40:16,861,0.13
312,12/01/2014,17:55:16,860,0.13
313,12/01/2014,18:10:16,860,0.13
314,12/01/2014,18:25:16,860,0.13
315,12/01/2014,18:40:16,860,0.13
316,12/01/2014,18:55:16,860,0.13
317,12/01/2014,19:10:16,860,0.13
318,12/01/2014,19:25:16,860,0.13
319,12/01/2014,19:40:16,861,0.13
320,12/01/2014,19:55:16,861,0.13
321,12/01/2014,20:10:16,861,0.13
322,12/01/2014,20:25:16,862,0.13
323,12/01/2014,20:40:16,862,0.13
324,12/01/2014,20:55:16,862,0.13
325,12/01/2014,21:10:16,862,0.13
326,12/01/2014,21:25:16,863,0.13
327,12/01/2014,21:40:16,863,0.13
328,12/01/2014,21:55:16,862,0.13
329,12/01/2014,22:10:16,863,0.13
330,12/01/2014,22:25:16,864,0.13
331,12/01/2014,22:40:16,865,0.13
332,12/01/2014,22:55:16,865,0.13
333,12/01/2014,23:10:16,865,0.13
334,12/01/2014,23:25:16,865,0.13
335,12/01/2014,23:40:16,866,0.13
336,12/01/2014,23:55:16,866,0.13
337,13/01/2014,00:10:16,866,0.13
338,13/01/2014,00:25:16,866,0.13
339,13/01/2014,00:40:16,866,0.13
340,13/01/2014,00:55:16,866,0.13
341,13/01/2014,01:10:16,867,0.13
342,13/01/2014,01:25:16,867,0.13
343,13/01/2014,01:40:16,867,0.13
344,13/01/2014,01:55:16,867,0.13
345,13/01/2014,02:10:16,867,0.13
346,13/01/2014,02:25:16,867,0.13
347,13/01/2014,02:40:16,867,0.13
348,13/01/2014,02:55:16,867,0.13
349,13/01/2014,03:10:16,867,0.13
350,13/01/2014,03:25:16,867,0.13
351,13/01/2014,03:40:16,867,0.13
352,13/01/2014,03:55:16,867,0.13
353,13/01/2014,04:10:16,867,0.13
354,13/01/2014,04:25:16,867,0.13
355,13/01/2014,04:40:16,867,0.13
356,13/01/2014,04:55:16,867,0.13
357,13/01/2014,05:10:16,867,0.13
358,13/01/2014,05:25:16,867,0.13
359,13/01/2014,05:40:16,868,0.13
360,13/01/2014,05:55:16,868,0.13
361,13/01/2014,06:10:16,868,0.13
362,13/01/2014,06:25:16,867,0.13
363,13/01/2014,06:40:16,867,0.13
364,13/01/2014,06:55:16,868,0.13
365,13/01/2014,07:10:16,868,0.13
366,13/01/2014,07:25:16,868,0.13
367,13/01/2014,07:40:16,868,0.13
368,13/01/2014,07:55:16,870,0.13
369,13/01/2014,08:10:16,870,0.13
370,13/01/2014,08:25:16,870,0.13
371,13/01/2014,08:40:16,871,0.13
372,13/01/2014,08:55:16,870,0.13
373,13/01/2014,09:10:16,870,0.13
374,13/01/2014,09:25:16,870,0.13
375,13/01/2014,09:40:16,870,0.13
376,13/01/2014,09:55:16,870,0.13
377,13/01/2014,10:10:16,869,0.13
378,13/01/2014,10:25:16,868,0.13
379,13/01/2014,10:40:16,867,0.13
380,13/01/2014,10:55:16,867,0.13
381,13/01/2014,11:10:16,866,0.13
382,13/01/2014,11:25:16,865,0.13
383,13/01/2014,11:40:16,865,0.13
384,13/01/2014,11:55:16,864,0.13
385,13/01/2014,12:10:16,863,0.13
386,13/01/2014,12:25:16,863,0.13
387,13/01/2014,12:40:16,863,0.13
388,13/01/2014,12:55:16,863,0.13
389,13/01/2014,13:10:16,862,0.13
390,13/01/2014,13:25:16,862,0.13
391,13/01/2014,13:40:16,862,0.13
392,13/01/2014,13:55:16,862,0.13
393,13/01/2014,14:10:16,862,0.13
394,13/01/2014,14:25:16,861,0.13
395,13/01/2014,14:40:16,861,0.13
396,13/01/2014,14:55:16,861,0.13
397,13/01/2014,15:10:16,860,0.13
398,13/01/2014,15:25:16,860,0.13
399,13/01/2014,15:40:16,859,0.13
400,13/01/2014,15:55:16,859,0.13
401,13/01/2014,16:10:16,858,0.13
402,13/01/2014,16:25:16,858,0.13
403,13/01/2014,16:40:16,855,0.12
404,13/01/2014,16:55:16,858,0.13
405,13/01/2014,17:10:16,858,0.13
406,13/01/2014,17:25:16,857,0.13
407,13/01/2014,17:40:16,858,0.13
408,13/01/2014,17:55:16,858,0.13
409,13/01/2014,18:10:16,858,0.13
410,13/01/2014,18:25:16,858,0.13
411,13/01/2014,18:40:16,859,0.13
412,13/01/2014,18:55:16,859,0.13
413,13/01/2014,19:10:16,860,0.13
414,13/01/2014,19:25:16,860,0.13
415,13/01/2014,19:40:16,860,0.13
416,13/01/2014,19:55:16,860,0.13
417,13/01/2014,20:10:16,861,0.13
418,13/01/2014,20:25:16,861,0.13
419,13/01/2014,20:40:16,861,0.13
420,13/01/2014,20:55:16,861,0.13
421,13/01/2014,21:10:16,862,0.13
422,13/01/2014,21:25:16,862,0.13
423,13/01/2014,21:40:16,863,0.13
424,13/01/2014,21:55:16,863,0.13
425,13/01/2014,22:10:16,863,0.13
426,13/01/2014,22:25:16,864,0.13
427,13/01/2014,22:40:16,864,0.13
428,13/01/2014,22:55:16,865,0.13
429,13/01/2014,23:10:16,865,0.13
430,13/01/2014,23:25:16,865,0.13
431,13/01/2014,23:40:16,865,0.13
432,13/01/2014,23:55:16,865,0.13
433,14/01/2014,00:10:16,865,0.13
434,14/01/2014,00:25:16,865,0.13
435,14/01/2014,00:40:16,865,0.13
436,14/01/2014,00:55:16,864,0.13
437,14/01/2014,01:10:16,864,0.13
438,14/01/2014,01:25:16,865,0.13
439,14/01/2014,01:40:16,865,0.13
440,14/01/2014,01:55:16,865,0.13
441,14/01/2014,02:10:16,865,0.13
442,14/01/2014,02:25:16,865,0.13
443,14/01/2014,02:40:16,865,0.13
444,14/01/2014,02:55:16,865,0.13
445,14/01/2014,03:10:16,866,0.13
446,14/01/2014,03:25:16,866,0.13
447,14/01/2014,03:40:16,866,0.13
448,14/01/2014,03:55:16,866,0.13
449,14/01/2014,04:10:16,866,0.13
450,14/01/2014,04:25:16,866,0.13
451,14/01/2014,04:40:16,866,0.13
452,14/01/2014,04:55:16,866,0.13
453,14/01/2014,05:10:16,866,0.13
454,14/01/2014,05:25:16,866,0.13
455,14/01/2014,05:40:16,866,0.13
456,14/01/2014,05:55:16,866,0.13
457,14/01/2014,06:10:16,866,0.13
458,14/01/2014,06:25:16,866,0.13
