Site Name ,WLR109,,,,
Site Number ,109,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,44354,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
271,21/01/2017 , 09:50:00,2251,15.77
272,21/01/2017 , 09:55:00,2251,15.77
273,21/01/2017 , 10:00:00,2251,15.77
274,21/01/2017 , 10:05:00,2250,15.68
275,21/01/2017 , 10:10:00,2256,16.2
276,21/01/2017 , 10:15:00,2251,15.77
277,21/01/2017 , 10:20:00,2250,15.68
278,21/01/2017 , 10:25:00,2250,15.68
279,21/01/2017 , 10:30:00,2253,15.94
280,21/01/2017 , 10:35:00,2252,15.85
281,21/01/2017 , 10:40:00,2252,15.85
282,21/01/2017 , 10:45:00,2252,15.85
283,21/01/2017 , 10:50:00,2252,15.85
284,21/01/2017 , 10:55:00,2252,15.85
285,21/01/2017 , 11:00:00,2252,15.85
286,21/01/2017 , 11:05:00,2252,15.85
287,21/01/2017 , 11:10:00,2252,15.85
288,21/01/2017 , 11:15:00,2251,15.77
289,21/01/2017 , 11:20:00,2249,15.6
290,21/01/2017 , 11:25:00,2248,15.51
291,21/01/2017 , 11:30:00,2248,15.51
292,21/01/2017 , 11:35:00,2247,15.42
293,21/01/2017 , 11:40:00,2247,15.42
294,21/01/2017 , 11:45:00,2247,15.42
295,21/01/2017 , 11:50:00,2246,15.34
296,21/01/2017 , 11:55:00,2245,15.25
297,21/01/2017 , 12:00:00,2244,15.17
298,21/01/2017 , 12:05:00,2244,15.17
299,21/01/2017 , 12:10:00,2243,15.08
300,21/01/2017 , 12:15:00,2243,15.08
301,21/01/2017 , 12:20:00,2243,15.08
302,21/01/2017 , 12:25:00,2243,15.08
303,21/01/2017 , 12:30:00,2244,15.17
304,21/01/2017 , 12:35:00,2244,15.17
305,21/01/2017 , 12:40:00,2244,15.17
306,21/01/2017 , 12:45:00,2245,15.25
307,21/01/2017 , 12:50:00,2245,15.25
308,21/01/2017 , 12:55:00,2245,15.25
309,21/01/2017 , 13:00:00,2246,15.34
310,21/01/2017 , 13:05:00,2246,15.34
311,21/01/2017 , 13:10:00,2246,15.34
312,21/01/2017 , 13:15:00,2246,15.34
313,21/01/2017 , 13:20:00,2246,15.34
314,21/01/2017 , 13:25:00,2246,15.34
315,21/01/2017 , 13:30:00,2251,15.77
316,21/01/2017 , 13:35:00,2251,15.77
317,21/01/2017 , 13:40:00,2250,15.68
318,21/01/2017 , 13:45:00,2250,15.68
319,21/01/2017 , 13:50:00,2249,15.6
320,21/01/2017 , 13:55:00,2249,15.6
321,21/01/2017 , 14:00:00,2249,15.6
322,21/01/2017 , 14:05:00,2248,15.51
323,21/01/2017 , 14:10:00,2248,15.51
324,21/01/2017 , 14:15:00,2248,15.51
325,21/01/2017 , 14:20:00,2247,15.42
326,21/01/2017 , 14:25:00,2247,15.42
327,21/01/2017 , 14:30:00,2246,15.34
328,21/01/2017 , 14:35:00,2246,15.34
329,21/01/2017 , 14:40:00,2246,15.34
330,21/01/2017 , 14:45:00,2246,15.34
331,21/01/2017 , 14:50:00,2246,15.34
332,21/01/2017 , 14:55:00,2247,15.42
333,21/01/2017 , 15:00:00,2247,15.42
334,21/01/2017 , 15:05:00,2247,15.42
335,21/01/2017 , 15:10:00,2247,15.42
336,21/01/2017 , 15:15:00,2247,15.42
337,21/01/2017 , 15:20:00,2247,15.42
338,21/01/2017 , 15:25:00,2248,15.51
339,21/01/2017 , 15:30:00,2248,15.51
340,21/01/2017 , 15:35:00,2250,15.68
341,21/01/2017 , 15:40:00,2249,15.6
342,21/01/2017 , 15:45:00,2249,15.6
343,21/01/2017 , 15:50:00,2249,15.6
344,21/01/2017 , 15:55:00,2250,15.68
345,21/01/2017 , 16:00:00,2249,15.6
346,21/01/2017 , 16:05:00,2250,15.68
347,21/01/2017 , 16:10:00,2250,15.68
348,21/01/2017 , 16:15:00,2250,15.68
349,21/01/2017 , 16:20:00,2250,15.68
350,21/01/2017 , 16:25:00,2250,15.68
351,21/01/2017 , 16:30:00,2250,15.68
352,21/01/2017 , 16:35:00,2264,16.88
353,21/01/2017 , 16:40:00,2261,16.62
354,21/01/2017 , 16:45:00,2250,15.68
355,21/01/2017 , 16:50:00,2250,15.68
356,21/01/2017 , 16:55:00,2250,15.68
357,21/01/2017 , 17:00:00,2250,15.68
