Site Name ,WLR103A,,,,
Site Number ,103,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,1745,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
210,20/01/2017 , 08:20:00,2067,8.43
211,20/01/2017 , 08:25:00,2062,8.19
212,20/01/2017 , 08:30:00,2058,8
213,20/01/2017 , 08:35:00,2055,7.86
214,20/01/2017 , 08:40:00,2054,7.81
215,20/01/2017 , 08:45:00,2052,7.72
216,20/01/2017 , 08:50:00,2050,7.62
217,20/01/2017 , 08:55:00,2050,7.62
218,20/01/2017 , 09:00:00,2050,7.62
219,20/01/2017 , 09:05:00,2049,7.57
220,20/01/2017 , 09:10:00,2049,7.57
221,20/01/2017 , 09:15:00,2050,7.62
222,20/01/2017 , 09:20:00,2050,7.62
223,20/01/2017 , 09:25:00,2050,7.62
224,20/01/2017 , 09:30:00,2050,7.62
225,20/01/2017 , 09:35:00,2050,7.62
226,20/01/2017 , 09:40:00,2050,7.62
227,20/01/2017 , 09:45:00,2050,7.62
228,20/01/2017 , 09:50:00,2050,7.62
229,20/01/2017 , 09:55:00,2050,7.62
230,20/01/2017 , 10:00:00,2050,7.62
231,20/01/2017 , 10:05:00,2050,7.62
232,20/01/2017 , 10:10:00,2050,7.62
233,20/01/2017 , 10:15:00,2050,7.62
234,20/01/2017 , 10:20:00,2050,7.62
235,20/01/2017 , 10:25:00,2049,7.57
236,20/01/2017 , 10:30:00,2049,7.57
237,20/01/2017 , 10:35:00,2049,7.57
238,20/01/2017 , 10:40:00,2050,7.62
239,20/01/2017 , 10:45:00,2049,7.57
240,20/01/2017 , 10:50:00,2049,7.57
241,20/01/2017 , 10:55:00,2049,7.57
242,20/01/2017 , 11:00:00,2049,7.57
243,20/01/2017 , 11:05:00,2049,7.57
244,20/01/2017 , 11:10:00,2049,7.57
245,20/01/2017 , 11:15:00,2049,7.57
246,20/01/2017 , 11:20:00,2049,7.57
247,20/01/2017 , 11:25:00,2049,7.57
248,20/01/2017 , 11:30:00,2049,7.57
249,20/01/2017 , 11:35:00,2049,7.57
250,20/01/2017 , 11:40:00,2048,7.53
251,20/01/2017 , 11:45:00,2049,7.57
252,20/01/2017 , 11:50:00,2049,7.57
253,20/01/2017 , 11:55:00,2049,7.57
254,20/01/2017 , 12:00:00,2048,7.53
255,20/01/2017 , 12:05:00,2048,7.53
256,20/01/2017 , 12:10:00,2048,7.53
257,20/01/2017 , 12:15:00,2048,7.53
258,20/01/2017 , 12:20:00,2048,7.53
259,20/01/2017 , 12:25:00,2048,7.53
260,20/01/2017 , 12:30:00,2048,7.53
261,20/01/2017 , 12:35:00,2048,7.53
262,20/01/2017 , 12:40:00,2048,7.53
263,20/01/2017 , 12:45:00,2049,7.57
264,20/01/2017 , 12:50:00,2049,7.57
265,20/01/2017 , 12:55:00,2048,7.53
266,20/01/2017 , 13:00:00,2048,7.53
267,20/01/2017 , 13:05:00,2049,7.57
268,20/01/2017 , 13:10:00,2048,7.53
269,20/01/2017 , 13:15:00,2048,7.53
270,20/01/2017 , 13:20:00,2048,7.53
271,20/01/2017 , 13:25:00,2048,7.53
272,20/01/2017 , 13:30:00,2048,7.53
273,20/01/2017 , 13:35:00,2048,7.53
274,20/01/2017 , 13:40:00,2048,7.53
275,20/01/2017 , 13:45:00,2048,7.53
276,20/01/2017 , 13:50:00,2048,7.53
277,20/01/2017 , 13:55:00,2048,7.53
278,20/01/2017 , 14:00:00,2048,7.53
279,20/01/2017 , 14:05:00,2048,7.53
280,20/01/2017 , 14:10:00,2048,7.53
281,20/01/2017 , 14:15:00,2048,7.53
282,20/01/2017 , 14:20:00,2048,7.53
283,20/01/2017 , 14:25:00,2048,7.53
284,20/01/2017 , 14:30:00,2048,7.53
285,20/01/2017 , 14:35:00,2048,7.53
286,20/01/2017 , 14:40:00,2048,7.53
287,20/01/2017 , 14:45:00,2048,7.53
288,20/01/2017 , 14:50:00,2048,7.53
289,20/01/2017 , 14:55:00,2048,7.53
290,20/01/2017 , 15:00:00,2048,7.53
291,20/01/2017 , 15:05:00,2048,7.53
292,20/01/2017 , 15:10:00,2048,7.53
293,20/01/2017 , 15:15:00,2048,7.53
294,20/01/2017 , 15:20:00,2048,7.53
295,20/01/2017 , 15:25:00,2048,7.53
296,20/01/2017 , 15:30:00,2048,7.53
297,20/01/2017 , 15:35:00,2048,7.53
298,20/01/2017 , 15:40:00,2048,7.53
299,20/01/2017 , 15:45:00,2048,7.53
300,20/01/2017 , 15:50:00,2048,7.53
301,20/01/2017 , 15:55:00,2048,7.53
302,20/01/2017 , 16:00:00,2049,7.57
303,20/01/2017 , 16:05:00,2048,7.53
304,20/01/2017 , 16:10:00,2048,7.53
305,20/01/2017 , 16:15:00,2048,7.53
306,20/01/2017 , 16:20:00,2048,7.53
307,20/01/2017 , 16:25:00,2048,7.53
308,20/01/2017 , 16:30:00,2048,7.53
309,20/01/2017 , 16:35:00,2048,7.53
310,20/01/2017 , 16:40:00,2047,7.48
311,20/01/2017 , 16:45:00,2048,7.53
312,20/01/2017 , 16:50:00,2048,7.53
313,20/01/2017 , 16:55:00,2048,7.53
314,20/01/2017 , 17:00:00,2048,7.53
315,20/01/2017 , 17:05:00,2049,7.57
316,20/01/2017 , 17:10:00,2049,7.57
317,20/01/2017 , 17:15:00,2049,7.57
318,20/01/2017 , 17:20:00,2048,7.53
319,20/01/2017 , 17:25:00,2048,7.53
320,20/01/2017 , 17:30:00,2048,7.53
321,20/01/2017 , 17:35:00,2048,7.53
322,20/01/2017 , 17:40:00,2048,7.53
323,20/01/2017 , 17:45:00,2048,7.53
324,20/01/2017 , 17:50:00,2048,7.53
325,20/01/2017 , 17:55:00,2048,7.53
326,20/01/2017 , 18:00:00,2048,7.53
327,20/01/2017 , 18:05:00,2048,7.53
328,20/01/2017 , 18:10:00,2048,7.53
329,20/01/2017 , 18:15:00,2048,7.53
330,20/01/2017 , 18:20:00,2049,7.57
331,20/01/2017 , 18:25:00,2049,7.57
332,20/01/2017 , 18:30:00,2049,7.57
333,20/01/2017 , 18:35:00,2050,7.62
334,20/01/2017 , 18:40:00,2050,7.62
335,20/01/2017 , 18:45:00,2050,7.62
336,20/01/2017 , 18:50:00,2050,7.62
337,20/01/2017 , 18:55:00,2050,7.62
338,20/01/2017 , 19:00:00,2051,7.67
339,20/01/2017 , 19:05:00,2051,7.67
340,20/01/2017 , 19:10:00,2051,7.67
341,20/01/2017 , 19:15:00,2052,7.72
342,20/01/2017 , 19:20:00,2051,7.67
343,20/01/2017 , 19:25:00,2052,7.72
344,20/01/2017 , 19:30:00,2052,7.72
345,20/01/2017 , 19:35:00,2051,7.67
346,20/01/2017 , 19:40:00,2052,7.72
347,20/01/2017 , 19:45:00,2051,7.67
348,20/01/2017 , 19:50:00,2052,7.72
349,20/01/2017 , 19:55:00,2053,7.76
350,20/01/2017 , 20:00:00,2053,7.76
351,20/01/2017 , 20:05:00,2053,7.76
352,20/01/2017 , 20:10:00,2053,7.76
353,20/01/2017 , 20:15:00,2054,7.81
