"","tips","mm","dt.tm","Unit_ID","Rank","cat","Unit_ID","Installati","Lat","Long","elevation","slope","aspect","x","y","z","coords.x1","coords.x2"
"372191",0.86,22.016,2013-09-18 00:30:00,"TBRG 013",1,13,"TBRG 013","26/08/2012",14.43881,74.69273,528,32.36462,270.0647,466881.464088716,1596279.54264748,0,466881.464088716,1596279.54264748
"NA2",NA,NA,NA,"TBRG 013",2,13,"TBRG 013","26/08/2012",14.43881,74.69273,528,32.36462,270.0647,466881.464088716,1596279.54264748,0,466881.464088716,1596279.54264748
"299831",0.93,23.808,2013-07-04 15:30:00,"TBRG 013",3,13,"TBRG 013","26/08/2012",14.43881,74.69273,528,32.36462,270.0647,466881.464088716,1596279.54264748,0,466881.464088716,1596279.54264748
"60988",0.52,13.312,2014-07-13 11:15:00,"TBRG 013",4,13,"TBRG 013","26/08/2012",14.43881,74.69273,528,32.36462,270.0647,466881.464088716,1596279.54264748,0,466881.464088716,1596279.54264748
"102987",0.03,0.768,2015-11-02 17:45:00,"TBRG 013",5,13,"TBRG 013","26/08/2012",14.43881,74.69273,528,32.36462,270.0647,466881.464088716,1596279.54264748,0,466881.464088716,1596279.54264748
"61090",0.62,15.872,2014-07-14 12:45:00,"TBRG 013",6,13,"TBRG 013","26/08/2012",14.43881,74.69273,528,32.36462,270.0647,466881.464088716,1596279.54264748,0,466881.464088716,1596279.54264748
"301561",0.5,12.8,2013-07-06 10:45:00,"TBRG 013",7,13,"TBRG 013","26/08/2012",14.43881,74.69273,528,32.36462,270.0647,466881.464088716,1596279.54264748,0,466881.464088716,1596279.54264748
"372141",0.62,15.872,2013-09-17 23:15:00,"TBRG 013",8,13,"TBRG 013","26/08/2012",14.43881,74.69273,528,32.36462,270.0647,466881.464088716,1596279.54264748,0,466881.464088716,1596279.54264748
"37213",1.12,23.576,2013-09-18 00:30:00,"TBRG 014",1,14,"TBRG 014","15/09/2012",14.44063,74.68795,516,1.401188,17.75268,466366.529438034,1596481.52994209,0,466366.529438034,1596481.52994209
"59553",1,21.05,2014-05-08 18:00:00,"TBRG 014",2,14,"TBRG 014","15/09/2012",14.44063,74.68795,516,1.401188,17.75268,466366.529438034,1596481.52994209,0,466366.529438034,1596481.52994209
"29977",1.09,22.9445,2013-07-04 15:30:00,"TBRG 014",3,14,"TBRG 014","15/09/2012",14.44063,74.68795,516,1.401188,17.75268,466366.529438034,1596481.52994209,0,466366.529438034,1596481.52994209
"65862",0.69,14.5245,2014-07-13 11:15:00,"TBRG 014",4,14,"TBRG 014","15/09/2012",14.44063,74.68795,516,1.401188,17.75268,466366.529438034,1596481.52994209,0,466366.529438034,1596481.52994209
